USUARIO,SEGUIDORES,FECHA,TIPO,LIKES,COMMS,DESCRIPCION,SENTIMIENTO,HASHTAGS
aleborjas91,0,26/08/2026,Post,65,10,Me animo a entrar A una batalla de aura  Mi contrincante: #britney #britneyjeanspears #aura,Sentimentalismo,"britney,britneyjeanspears,aura"
aleborjas91,0,24/08/2026,Post,89,7,"¡Finalizamos nuestro lunes, no te pierdas nuestra transmisión mañana a las 10:00 am! 💖🔥",Esperanza,
aleborjas91,0,20/08/2026,Post,3,4,"#ᴛʙᴛ recordando rinconcitos de 🇵🇪   Museo Larco: Pueblo Libre,  huacos eróticos y oro precolombino #travelling #perú #museo #bff",N/A,"ᴛʙᴛ,travelling,perú,museo,bff"
aleborjas91,0,19/08/2026,Post,50,3,¡Ojalá todos nos levantáramos con ese mood todos los días! 💃🤣🤪,Amor,
