USUARIO,SEGUIDORES,CORAZONES_TOTALES,FECHA_POST,LIKES_VIDEO,VISTAS,DESCRIPCION
snoopdogg,29500000,182200000,20/03/2026 13:49:33,2544,55943,"LA, look up 👀 📍Melrose x La Jolla @Cali by Snoop 🍷 "
snoopdogg,29500000,182200000,20/03/2026 10:53:22,5120,51058,"Tune into my podcast! Fun, laughter, n some album BTS. On my YouTube in 20 mins "
snoopdogg,29500000,182200000,19/03/2026 12:47:35,1735,35159,From tha barrel 2 tha blocc @Cali by Snoop 🍷 
snoopdogg,29500000,182200000,13/03/2026 14:55:51,69849,540596,Listen up!!! 🔥👏🏿 ⏰ 
snoopdogg,29500000,182200000,13/03/2026 12:37:53,2051,60663,Healer 👊🏿☀️🙏🏿 by @Jeremy Beloate wit @Death Row Records single out now 🎥🌙
snoopdogg,29500000,182200000,12/03/2026 17:15:30,4227,80954,👀☀️ 🍦 @Dr. Bombay 
snoopdogg,29500000,182200000,08/03/2026 14:05:07,10736,146430,30 years later and it’s still a gangsta party. Dropping March 10th. Y’all ready?
snoopdogg,29500000,182200000,06/03/2026 11:27:49,1855,40288,"Snoop Dogg = The Ultimate #WinterParalympics hype man. 👏 📺: The Paralympics Opening Ceremony, Friday 1:30pm ET on Peacock and USA Network #wintersports #snoopdogg #snoop "
snoopdogg,29500000,182200000,05/03/2026 16:53:32,1981,61071,We live n direct!! @Official Rap Snacks in Costco today!! U go yet ?? @Costco Wholesale 
snoopdogg,29500000,182200000,04/03/2026 02:06:31,7270,133499,Let’s go. !! @Official Rap Snacks we live jaccc!! 🥔 
snoopdogg,29500000,182200000,26/02/2026 11:23:46,4917,166128,Just playin around 😅🤔❄️  Credit: therealdahdah
snoopdogg,29500000,182200000,26/02/2026 11:15:58,22664,292410,Swansea !!! Thank u!!! @Swansea City AFC  📸 @itswowkoby 
snoopdogg,29500000,182200000,24/02/2026 17:48:46,49427,563355,"Good night, Jack Army! 🐾 #SnoopDogg #SwanseaCity "
snoopdogg,29500000,182200000,23/02/2026 11:52:33,38336,452886,The Dogg is in town 🐾 @Snoop Dogg 
snoopdogg,29500000,182200000,22/02/2026 22:35:47,68555,451338,Well this was fun!!! 🥇 @NBC Olympics & Paralympics  c yall later 
snoopdogg,29500000,182200000,22/02/2026 22:30:04,8793,119716,Thank you!!! @Team USA 🇺🇸 
snoopdogg,29500000,182200000,19/02/2026 20:32:35,164682,1774783,Somebody get Snoop on the ice. 😂 #WinterOlympics 
snoopdogg,29500000,182200000,18/02/2026 14:21:31,15705,272947,Buon appetito🍦🇮🇹 #winterolympics
snoopdogg,29500000,182200000,16/02/2026 21:27:16,29628,496156,We out here!!! How’d I do 🤔😆 @NBC Olympics & Paralympics 
