USUARIO,SEGUIDORES,FECHA_POST,LIKES,COMENTARIOS,VISTAS,DESCRIPCION,SENTIMIENTO,HASHTAGS
facebook,154000000,01/09/2026 10:02:31,1625,511,41,This is what happens when you actually follow the travel group's recs 🏔️  Video by @madetotravel0,Positivo,
facebook,154000000,01/09/2026 07:22:02,11164,2307,160,We're so lucky to live in the same timeline as whimsical Facebook Event planners,Positivo,
facebook,154000000,31/08/2026 07:08:18,15484,2480,695,"For everyone realizing summer is ending: pumpkin treats, movie parties and spooky szn are just beginning 🍂",Positivo,
facebook,154000000,01/09/2026 10:02:31,1649,517,41,This is what happens when you actually follow the travel group's recs 🏔️  Video by @madetotravel0,Curiosidad,
facebook,154000000,01/09/2026 07:22:02,11217,2312,162,We're so lucky to live in the same timeline as whimsical Facebook Event planners,N/A,
facebook,154000000,31/08/2026 07:08:18,15496,2480,695,"For everyone realizing summer is ending: pumpkin treats, movie parties and spooky szn are just beginning 🍂",Amor,
