USUARIO,SEGUIDORES,FECHA,TIPO,LIKES,COMMS,DESCRIPCION
therock,390497920,20/03/2026,Post,50142,921,"I made @PapaTui_ for the men - to expand our conversation about skin care and elevate our daily skin care routine.   Our new Acne Care products have been highly anticipated (#1 skin care concern for men, is acne) and most importantly, THEY WORK.   PAPATUI is officially #1 in Men’s Skin Care 🔥🙏🏾 which is incredible, but we have so much more work ahead of us.   Keep loving your PapaTui, and keep sending me your amazing feedback — we listen and will always deliver.   dj 🫱🏾‍🫲🏼 #papatui  #acne  @businessoffashion.bof 🥂"
therock,390497920,17/03/2026,Post,149746,1984,"Meet me in the lobby this Thursday… 3/19   … if you know, you know   ~ F   🛡️🗿🛡️"
therock,390497920,14/03/2026,Post,1503924,9251,"I want to hate this so bad and punch @kevinhart4real right in his little Keebler elf face, but dammit my jaws hurt from belly laughing at his commentary 😂😂👏🏾👏🏾  btw, we have less than 3 minutes between takes, so that’s why I use a shovel size spoon to devour my food 🪏 Can a working man just eat in peace? Paybacks a bitch, Kev 😉  #onset #jumanji #hawaii"
therock,390497920,13/03/2026,Post,37047,1232,"Two years ago we launched @papatui_ at @target with one goal: give guys better products that actually work.  Now we’re taking on the #1 skincare concern for men ~ acne.   I’m pumped to introduce PAPATUI Acne Fighting Care, built with powerful ingredients and designed specifically for guys.   Great results are on the way, and thanks for making PAPATUI #1 in Men’s Face Care."
therock,390497920,10/03/2026,Post,172599,3191,"When the briefcase arrives in Hawaii, you know some cool s#%t is about to go down 😎  Excited to finally share our @PapaTui_ acne line, which we’ve been formulating for over a year.   We heard from men of all ages, and acne is our #1 skin concern.   Three fantastic products:  🧴Acne-Fighting Cleanser  ⚫️ Pimple Patch 💦Acne-Fighting Body Spray  We only get one skin ~ thanks for letting @PapaTui_ help you take care of it.   Excited for you get results, lemme me know what you think 🫱🏾‍🫲🏼  Available exclusively at @target 🎯  #AcneCare #PapaTui #1MensCareLine"
therock,390497920,07/03/2026,Post,4067497,29739,"I love my son @kevinhart4real with all my heart ❤️ but when he gets whiny about his carseat, I just want to slap his stupid little lips clean off his annoying punchable face 👄 👋🏾 👦🏾 🤛🏾   #onset  #jumanji  #daddyissues #toomuchfun 😂"
therock,390497920,05/03/2026,Post,38144,516,"You asked, and @PapaTui_ is about to deliver 🫱🏾‍🫲🏼  You’ve voiced it to us loud and clear about the #1 skin concern men face.   As you see, our team has been working hard in the lab to formulate and build this new product line, just for you.   Dropping soon at @target 🎯  #PapaTui #ComingSoon  #1SkinConcernForMen"
therock,390497920,02/03/2026,Post,285167,4175,"Man I was emotional here, because my heart was full listening to everyone’s powerful speeches, then “My Way” was played as I walked on stage.   I was also deeply inspired, because I’m a proud, self respecting Black Samoan man who was surrounded by excellence on this night.   THANK YOU to the @AmericanBlackFilmFestival for this inspiring award, and more importantly, thank you for illuminating our cultures, artists and their beautiful souls.   When you come up like I did, it creates a fire in your spine, callouses on your hands and forces you to chase greatness and work to achieve excellence. To be that example for my kids and the the next generation who will stand on my/ OUR shoulders.   Work hard, take care of your family, protect your aura + energy, lift everyone up around you, run towards the things you LOVE, and a core motivating philosophy I keep very close…   just because something’s never been done before, doesn’t mean it can’t be done ~ it just means we haven’t figured out a way to do it.   Cheers to always finding a way.   🤎🥂  #AmericanBlackFilmFestival  #IconAward   “Endurance, commitment, the decision to keep showing up” ~ Queen Angela Basset"
therock,390497908,23/03/2026,Post,1188199,9576,The ocean chose her for a reason 🌊  Experience @Disney’s MOANA only in theaters JULY 10.  ~ 🪝
therock,390497908,09/12/2025,Post,252713,3915,"The most surreal and humbling day of my career.   My FIRST Golden Globe nomination! 🙏🏾🤎  THANK YOU @goldenglobes for this incredibly inspiring honor and acknowledgment of the story we told and souls we bared.   What a privilege to be included with such an insane cadre of artists whose extraordinary performances all have raised the standard.   Getting the opportunity to live in the skin of Mark Kerr was the most life changing and beautiful experience of my career - and my gratitude runs deep to Mark for trusting me with his story and ultimately, trusting me with his life.   Celebrating my brother and our fearlessly empathetic director, the brilliant and hungry Benny Safdie @bowedtie - and I count my lucky stars to have the greatest scene partner of all time, Emily Blunt, whose RAW, heart wrenching, and lived in performance as Dawn Staples, moves us all to aching tears.   Finally, I’m still in awe of the transformative, prosthetic make-up work of the great, Kazu Hiro @kazustudios and all of the Smashing Machine crew who truly became a family and left it all on the screen.   This experience was life changing and unlocking.   Thank you to ALL OF YOU for “ walking down this road with me” on this wild and unpredictable journey of life…   and art.   🤎🙏🏾"
therock,390497908,23/03/2026,Post,190167,1200,This means everything to us 🤎 🌊  Go behind-the-scenes of @Disney’s MOANA and experience the movie only in theaters JULY 10.   ~ 🪝
therock,390497908,23/03/2026,Post,1402900,5545,"The ocean is calling. Join Moana, Maui, Heihei, and Pua on an unforgettable adventure 🌊  Disney’s #Moana only in theaters July 10!  ~🪝"
therock,390497908,20/03/2026,Post,50142,921,"I made @PapaTui_ for the men - to expand our conversation about skin care and elevate our daily skin care routine.   Our new Acne Care products have been highly anticipated (#1 skin care concern for men, is acne) and most importantly, THEY WORK.   PAPATUI is officially #1 in Men’s Skin Care 🔥🙏🏾 which is incredible, but we have so much more work ahead of us.   Keep loving your PapaTui, and keep sending me your amazing feedback — we listen and will always deliver.   dj 🫱🏾‍🫲🏼 #papatui  #acne  @businessoffashion.bof 🥂"
therock,390497908,17/03/2026,Post,149746,1984,"Meet me in the lobby this Thursday… 3/19   … if you know, you know   ~ F   🛡️🗿🛡️"
therock,390497908,14/03/2026,Post,1503935,9251,"I want to hate this so bad and punch @kevinhart4real right in his little Keebler elf face, but dammit my jaws hurt from belly laughing at his commentary 😂😂👏🏾👏🏾  btw, we have less than 3 minutes between takes, so that’s why I use a shovel size spoon to devour my food 🪏 Can a working man just eat in peace? Paybacks a bitch, Kev 😉  #onset #jumanji #hawaii"
therock,390497908,13/03/2026,Post,37047,1232,"Two years ago we launched @papatui_ at @target with one goal: give guys better products that actually work.  Now we’re taking on the #1 skincare concern for men ~ acne.   I’m pumped to introduce PAPATUI Acne Fighting Care, built with powerful ingredients and designed specifically for guys.   Great results are on the way, and thanks for making PAPATUI #1 in Men’s Face Care."
therock,390497908,10/03/2026,Post,172599,3192,"When the briefcase arrives in Hawaii, you know some cool s#%t is about to go down 😎  Excited to finally share our @PapaTui_ acne line, which we’ve been formulating for over a year.   We heard from men of all ages, and acne is our #1 skin concern.   Three fantastic products:  🧴Acne-Fighting Cleanser  ⚫️ Pimple Patch 💦Acne-Fighting Body Spray  We only get one skin ~ thanks for letting @PapaTui_ help you take care of it.   Excited for you get results, lemme me know what you think 🫱🏾‍🫲🏼  Available exclusively at @target 🎯  #AcneCare #PapaTui #1MensCareLine"
therock,390497908,07/03/2026,Post,4067505,29739,"I love my son @kevinhart4real with all my heart ❤️ but when he gets whiny about his carseat, I just want to slap his stupid little lips clean off his annoying punchable face 👄 👋🏾 👦🏾 🤛🏾   #onset  #jumanji  #daddyissues #toomuchfun 😂"
therock,390497908,05/03/2026,Post,38144,516,"You asked, and @PapaTui_ is about to deliver 🫱🏾‍🫲🏼  You’ve voiced it to us loud and clear about the #1 skin concern men face.   As you see, our team has been working hard in the lab to formulate and build this new product line, just for you.   Dropping soon at @target 🎯  #PapaTui #ComingSoon  #1SkinConcernForMen"
therock,390497908,02/03/2026,Post,285167,4175,"Man I was emotional here, because my heart was full listening to everyone’s powerful speeches, then “My Way” was played as I walked on stage.   I was also deeply inspired, because I’m a proud, self respecting Black Samoan man who was surrounded by excellence on this night.   THANK YOU to the @AmericanBlackFilmFestival for this inspiring award, and more importantly, thank you for illuminating our cultures, artists and their beautiful souls.   When you come up like I did, it creates a fire in your spine, callouses on your hands and forces you to chase greatness and work to achieve excellence. To be that example for my kids and the the next generation who will stand on my/ OUR shoulders.   Work hard, take care of your family, protect your aura + energy, lift everyone up around you, run towards the things you LOVE, and a core motivating philosophy I keep very close…   just because something’s never been done before, doesn’t mean it can’t be done ~ it just means we haven’t figured out a way to do it.   Cheers to always finding a way.   🤎🥂  #AmericanBlackFilmFestival  #IconAward   “Endurance, commitment, the decision to keep showing up” ~ Queen Angela Basset"
selenagomez,415008057,19/03/2026,Post,1068783,3822,@ultabeauty afternoon 🧡 (i accidentally deleted the post smh)
selenagomez,415008057,19/03/2026,Post,1792148,3304,auntie/tia/big sister duties 🥰🥹
selenagomez,415008057,18/03/2026,Post,643636,3002,"Matte foundation. 3 in 1. Primes, covers and sets. 48 shades!!!! @rarebeauty ♥️ April 2nd at @sephora"
selenagomez,415008057,16/03/2026,Post,834317,4274,"From my wedding to the Sunset Blvd music video, to red carpets, and even quiet days at home…I’ve been wearing my new @RareBeauty foundation through it all. It self-primes, self-sets, and looks better as the day goes on.  I’ve waited a long time to share it with you, and I’m SO excited I finally can.   True to Myself Natural Matte Longwear Foundation in 48 shades (!!!) is available April 2 only at @sephora and rarebeauty.com. Or get it early on the Sephora app April 1."
selenagomez,415008057,14/03/2026,Post,4286959,13828,
selenagomez,415008057,08/03/2026,Post,4995095,15676,happy birthday my love 🥳♥️ I love you with all my heart
selenagomez,415008057,25/02/2026,Post,1246681,8530,Neutral Eye Collection 🤎  We made two of our iconic @rarebeauty formulas (mascara + liquid liner) in brown and created a new Essential Neutrals Eyeshadow Palette with 8 shades… and I haven’t stopped using them. Can’t wait to see what you create with these!  Available only @ultabeauty and rarebeauty.com March 1!
selenagomez,415008057,19/02/2026,Post,6804001,17850,randoms
selenagomez,415008057,02/02/2026,Post,2240534,13575,lately
selenagomez,415008057,01/02/2026,Post,1367304,8817,"Get in, we’re going to Ulta!!!!   I’m so excited that @rarebeauty is now available at all @ultabeauty stores!   I’m even more excited that you can add a donation in-store this month only to support mental health 🧡 Proceeds go to the Ulta Beauty Charitable Foundation + the Rare Impact Fund (and how special that it’s the first time they’ve done this with a brand!!!)"
selenagomez,415008057,21/01/2026,Post,2955008,23089,short series 💇‍♀️
selenagomez,415008057,18/01/2026,Post,795474,20609,Sorry the last post had an effect … it felt like a lie lol @rarebeauty
selenagomez,415008053,19/03/2026,Post,1068792,3822,@ultabeauty afternoon 🧡 (i accidentally deleted the post smh)
selenagomez,415008053,19/03/2026,Post,1792158,3304,auntie/tia/big sister duties 🥰🥹
selenagomez,415008053,18/03/2026,Post,643639,3002,"Matte foundation. 3 in 1. Primes, covers and sets. 48 shades!!!! @rarebeauty ♥️ April 2nd at @sephora"
selenagomez,415008053,16/03/2026,Post,834320,4274,"From my wedding to the Sunset Blvd music video, to red carpets, and even quiet days at home…I’ve been wearing my new @RareBeauty foundation through it all. It self-primes, self-sets, and looks better as the day goes on.  I’ve waited a long time to share it with you, and I’m SO excited I finally can.   True to Myself Natural Matte Longwear Foundation in 48 shades (!!!) is available April 2 only at @sephora and rarebeauty.com. Or get it early on the Sephora app April 1."
selenagomez,415008053,14/03/2026,Post,4286986,13828,
selenagomez,415008053,08/03/2026,Post,4995104,15676,happy birthday my love 🥳♥️ I love you with all my heart
selenagomez,415008053,25/02/2026,Post,1246681,8530,Neutral Eye Collection 🤎  We made two of our iconic @rarebeauty formulas (mascara + liquid liner) in brown and created a new Essential Neutrals Eyeshadow Palette with 8 shades… and I haven’t stopped using them. Can’t wait to see what you create with these!  Available only @ultabeauty and rarebeauty.com March 1!
selenagomez,415008053,19/02/2026,Post,6804000,17850,randoms
selenagomez,415008053,02/02/2026,Post,2240534,13575,lately
selenagomez,415008053,01/02/2026,Post,1367304,8817,"Get in, we’re going to Ulta!!!!   I’m so excited that @rarebeauty is now available at all @ultabeauty stores!   I’m even more excited that you can add a donation in-store this month only to support mental health 🧡 Proceeds go to the Ulta Beauty Charitable Foundation + the Rare Impact Fund (and how special that it’s the first time they’ve done this with a brand!!!)"
selenagomez,415008053,21/01/2026,Post,2955008,23089,short series 💇‍♀️
selenagomez,415008053,18/01/2026,Post,795474,20609,Sorry the last post had an effect … it felt like a lie lol @rarebeauty
selenagomez,415008025,19/03/2026,Post,1068810,3822,@ultabeauty afternoon 🧡 (i accidentally deleted the post smh)
selenagomez,415008025,19/03/2026,Post,1792175,3304,auntie/tia/big sister duties 🥰🥹
selenagomez,415008025,18/03/2026,Post,643640,3002,"Matte foundation. 3 in 1. Primes, covers and sets. 48 shades!!!! @rarebeauty ♥️ April 2nd at @sephora"
selenagomez,415008025,16/03/2026,Post,834323,4274,"From my wedding to the Sunset Blvd music video, to red carpets, and even quiet days at home…I’ve been wearing my new @RareBeauty foundation through it all. It self-primes, self-sets, and looks better as the day goes on.  I’ve waited a long time to share it with you, and I’m SO excited I finally can.   True to Myself Natural Matte Longwear Foundation in 48 shades (!!!) is available April 2 only at @sephora and rarebeauty.com. Or get it early on the Sephora app April 1."
selenagomez,415008025,14/03/2026,Post,4287007,13828,
selenagomez,415008025,08/03/2026,Post,4995107,15676,happy birthday my love 🥳♥️ I love you with all my heart
selenagomez,415008025,25/02/2026,Post,1246681,8530,Neutral Eye Collection 🤎  We made two of our iconic @rarebeauty formulas (mascara + liquid liner) in brown and created a new Essential Neutrals Eyeshadow Palette with 8 shades… and I haven’t stopped using them. Can’t wait to see what you create with these!  Available only @ultabeauty and rarebeauty.com March 1!
selenagomez,415008025,19/02/2026,Post,6804001,17850,randoms
selenagomez,415008025,02/02/2026,Post,2240534,13575,lately
selenagomez,415008025,01/02/2026,Post,1367304,8817,"Get in, we’re going to Ulta!!!!   I’m so excited that @rarebeauty is now available at all @ultabeauty stores!   I’m even more excited that you can add a donation in-store this month only to support mental health 🧡 Proceeds go to the Ulta Beauty Charitable Foundation + the Rare Impact Fund (and how special that it’s the first time they’ve done this with a brand!!!)"
selenagomez,415008025,21/01/2026,Post,2955008,23089,short series 💇‍♀️
selenagomez,415008025,18/01/2026,Post,795474,20609,Sorry the last post had an effect … it felt like a lie lol @rarebeauty
selenagomez,415008010,19/03/2026,Post,1068821,3822,@ultabeauty afternoon 🧡 (i accidentally deleted the post smh)
selenagomez,415008010,19/03/2026,Post,1792196,3304,auntie/tia/big sister duties 🥰🥹
selenagomez,415008010,18/03/2026,Post,643644,3002,"Matte foundation. 3 in 1. Primes, covers and sets. 48 shades!!!! @rarebeauty ♥️ April 2nd at @sephora"
selenagomez,415008010,16/03/2026,Post,834326,4274,"From my wedding to the Sunset Blvd music video, to red carpets, and even quiet days at home…I’ve been wearing my new @RareBeauty foundation through it all. It self-primes, self-sets, and looks better as the day goes on.  I’ve waited a long time to share it with you, and I’m SO excited I finally can.   True to Myself Natural Matte Longwear Foundation in 48 shades (!!!) is available April 2 only at @sephora and rarebeauty.com. Or get it early on the Sephora app April 1."
selenagomez,415008010,14/03/2026,Post,4287056,13828,
selenagomez,415008010,08/03/2026,Post,4995114,15676,happy birthday my love 🥳♥️ I love you with all my heart
selenagomez,415008010,25/02/2026,Post,1246681,8530,Neutral Eye Collection 🤎  We made two of our iconic @rarebeauty formulas (mascara + liquid liner) in brown and created a new Essential Neutrals Eyeshadow Palette with 8 shades… and I haven’t stopped using them. Can’t wait to see what you create with these!  Available only @ultabeauty and rarebeauty.com March 1!
selenagomez,415008010,19/02/2026,Post,6804001,17850,randoms
selenagomez,415008010,02/02/2026,Post,2240534,13575,lately
selenagomez,415008010,01/02/2026,Post,1367304,8817,"Get in, we’re going to Ulta!!!!   I’m so excited that @rarebeauty is now available at all @ultabeauty stores!   I’m even more excited that you can add a donation in-store this month only to support mental health 🧡 Proceeds go to the Ulta Beauty Charitable Foundation + the Rare Impact Fund (and how special that it’s the first time they’ve done this with a brand!!!)"
selenagomez,415008010,21/01/2026,Post,2955007,23089,short series 💇‍♀️
selenagomez,415008010,18/01/2026,Post,795474,20609,Sorry the last post had an effect … it felt like a lie lol @rarebeauty
selenagomez,415007910,19/03/2026,Post,1068887,3822,@ultabeauty afternoon 🧡 (i accidentally deleted the post smh)
selenagomez,415007910,19/03/2026,Post,1792286,3304,auntie/tia/big sister duties 🥰🥹
selenagomez,415007910,18/03/2026,Post,643669,3002,"Matte foundation. 3 in 1. Primes, covers and sets. 48 shades!!!! @rarebeauty ♥️ April 2nd at @sephora"
selenagomez,415007910,16/03/2026,Post,834362,4274,"From my wedding to the Sunset Blvd music video, to red carpets, and even quiet days at home…I’ve been wearing my new @RareBeauty foundation through it all. It self-primes, self-sets, and looks better as the day goes on.  I’ve waited a long time to share it with you, and I’m SO excited I finally can.   True to Myself Natural Matte Longwear Foundation in 48 shades (!!!) is available April 2 only at @sephora and rarebeauty.com. Or get it early on the Sephora app April 1."
selenagomez,415007910,14/03/2026,Post,4287244,13829,
selenagomez,415007910,08/03/2026,Post,4995141,15676,happy birthday my love 🥳♥️ I love you with all my heart
selenagomez,415007910,25/02/2026,Post,1246683,8530,Neutral Eye Collection 🤎  We made two of our iconic @rarebeauty formulas (mascara + liquid liner) in brown and created a new Essential Neutrals Eyeshadow Palette with 8 shades… and I haven’t stopped using them. Can’t wait to see what you create with these!  Available only @ultabeauty and rarebeauty.com March 1!
selenagomez,415007910,19/02/2026,Post,6804002,17850,randoms
selenagomez,415007910,02/02/2026,Post,2240535,13575,lately
selenagomez,415007910,01/02/2026,Post,1367305,8817,"Get in, we’re going to Ulta!!!!   I’m so excited that @rarebeauty is now available at all @ultabeauty stores!   I’m even more excited that you can add a donation in-store this month only to support mental health 🧡 Proceeds go to the Ulta Beauty Charitable Foundation + the Rare Impact Fund (and how special that it’s the first time they’ve done this with a brand!!!)"
selenagomez,415007910,21/01/2026,Post,2955008,23089,short series 💇‍♀️
selenagomez,415007910,18/01/2026,Post,795476,20609,Sorry the last post had an effect … it felt like a lie lol @rarebeauty
selenagomez,415007751,19/03/2026,Post,1068978,3822,@ultabeauty afternoon 🧡 (i accidentally deleted the post smh)
selenagomez,415007751,19/03/2026,Post,1792386,3304,auntie/tia/big sister duties 🥰🥹
selenagomez,415007751,18/03/2026,Post,643687,3002,"Matte foundation. 3 in 1. Primes, covers and sets. 48 shades!!!! @rarebeauty ♥️ April 2nd at @sephora"
selenagomez,415007751,16/03/2026,Post,834390,4274,"From my wedding to the Sunset Blvd music video, to red carpets, and even quiet days at home…I’ve been wearing my new @RareBeauty foundation through it all. It self-primes, self-sets, and looks better as the day goes on.  I’ve waited a long time to share it with you, and I’m SO excited I finally can.   True to Myself Natural Matte Longwear Foundation in 48 shades (!!!) is available April 2 only at @sephora and rarebeauty.com. Or get it early on the Sephora app April 1."
selenagomez,415007751,14/03/2026,Post,4287437,13829,
selenagomez,415007751,08/03/2026,Post,4995160,15676,happy birthday my love 🥳♥️ I love you with all my heart
selenagomez,415007751,25/02/2026,Post,1246683,8530,Neutral Eye Collection 🤎  We made two of our iconic @rarebeauty formulas (mascara + liquid liner) in brown and created a new Essential Neutrals Eyeshadow Palette with 8 shades… and I haven’t stopped using them. Can’t wait to see what you create with these!  Available only @ultabeauty and rarebeauty.com March 1!
selenagomez,415007751,19/02/2026,Post,6804005,17850,randoms
selenagomez,415007751,02/02/2026,Post,2240535,13575,lately
selenagomez,415007751,01/02/2026,Post,1367305,8817,"Get in, we’re going to Ulta!!!!   I’m so excited that @rarebeauty is now available at all @ultabeauty stores!   I’m even more excited that you can add a donation in-store this month only to support mental health 🧡 Proceeds go to the Ulta Beauty Charitable Foundation + the Rare Impact Fund (and how special that it’s the first time they’ve done this with a brand!!!)"
selenagomez,415007751,21/01/2026,Post,2955007,23089,short series 💇‍♀️
selenagomez,415007751,18/01/2026,Post,795477,20609,Sorry the last post had an effect … it felt like a lie lol @rarebeauty
therock,390497534,23/03/2026,Post,1188344,9580,The ocean chose her for a reason 🌊  Experience @Disney’s MOANA only in theaters JULY 10.  ~ 🪝
therock,390497534,09/12/2025,Post,252714,3915,"The most surreal and humbling day of my career.   My FIRST Golden Globe nomination! 🙏🏾🤎  THANK YOU @goldenglobes for this incredibly inspiring honor and acknowledgment of the story we told and souls we bared.   What a privilege to be included with such an insane cadre of artists whose extraordinary performances all have raised the standard.   Getting the opportunity to live in the skin of Mark Kerr was the most life changing and beautiful experience of my career - and my gratitude runs deep to Mark for trusting me with his story and ultimately, trusting me with his life.   Celebrating my brother and our fearlessly empathetic director, the brilliant and hungry Benny Safdie @bowedtie - and I count my lucky stars to have the greatest scene partner of all time, Emily Blunt, whose RAW, heart wrenching, and lived in performance as Dawn Staples, moves us all to aching tears.   Finally, I’m still in awe of the transformative, prosthetic make-up work of the great, Kazu Hiro @kazustudios and all of the Smashing Machine crew who truly became a family and left it all on the screen.   This experience was life changing and unlocking.   Thank you to ALL OF YOU for “ walking down this road with me” on this wild and unpredictable journey of life…   and art.   🤎🙏🏾"
therock,390497534,23/03/2026,Post,190190,1200,This means everything to us 🤎 🌊  Go behind-the-scenes of @Disney’s MOANA and experience the movie only in theaters JULY 10.   ~ 🪝
therock,390497534,23/03/2026,Post,1403184,5545,"The ocean is calling. Join Moana, Maui, Heihei, and Pua on an unforgettable adventure 🌊  Disney’s #Moana only in theaters July 10!  ~🪝"
therock,390497534,20/03/2026,Post,50152,922,
therock,390497534,17/03/2026,Post,149757,1984,"Meet me in the lobby this Thursday… 3/19   … if you know, you know   ~ F   🛡️🗿🛡️"
therock,390497534,14/03/2026,Post,1504092,9251,"I want to hate this so bad and punch @kevinhart4real right in his little Keebler elf face, but dammit my jaws hurt from belly laughing at his commentary 😂😂👏🏾👏🏾  btw, we have less than 3 minutes between takes, so that’s why I use a shovel size spoon to devour my food 🪏 Can a working man just eat in peace? Paybacks a bitch, Kev 😉  #onset #jumanji #hawaii"
