USUARIO,SEGUIDORES,FECHA,TIPO,LIKES,COMMS,DESCRIPCION
therock,390497976,23/03/2026,Post,1188179,9576,The ocean chose her for a reason 🌊  Experience @Disney’s MOANA only in theaters JULY 10.  ~ 🪝
therock,390497976,09/12/2025,Post,252712,3915,"The most surreal and humbling day of my career.   My FIRST Golden Globe nomination! 🙏🏾🤎  THANK YOU @goldenglobes for this incredibly inspiring honor and acknowledgment of the story we told and souls we bared.   What a privilege to be included with such an insane cadre of artists whose extraordinary performances all have raised the standard.   Getting the opportunity to live in the skin of Mark Kerr was the most life changing and beautiful experience of my career - and my gratitude runs deep to Mark for trusting me with his story and ultimately, trusting me with his life.   Celebrating my brother and our fearlessly empathetic director, the brilliant and hungry Benny Safdie @bowedtie - and I count my lucky stars to have the greatest scene partner of all time, Emily Blunt, whose RAW, heart wrenching, and lived in performance as Dawn Staples, moves us all to aching tears.   Finally, I’m still in awe of the transformative, prosthetic make-up work of the great, Kazu Hiro @kazustudios and all of the Smashing Machine crew who truly became a family and left it all on the screen.   This experience was life changing and unlocking.   Thank you to ALL OF YOU for “ walking down this road with me” on this wild and unpredictable journey of life…   and art.   🤎🙏🏾"
therock,390497976,23/03/2026,Post,190162,1199,This means everything to us 🤎 🌊  Go behind-the-scenes of @Disney’s MOANA and experience the movie only in theaters JULY 10.   ~ 🪝
therock,390497976,23/03/2026,Post,1402850,5545,"The ocean is calling. Join Moana, Maui, Heihei, and Pua on an unforgettable adventure 🌊  Disney’s #Moana only in theaters July 10!  ~🪝"
therock,390497976,20/03/2026,Post,50142,921,"I made @PapaTui_ for the men - to expand our conversation about skin care and elevate our daily skin care routine.   Our new Acne Care products have been highly anticipated (#1 skin care concern for men, is acne) and most importantly, THEY WORK.   PAPATUI is officially #1 in Men’s Skin Care 🔥🙏🏾 which is incredible, but we have so much more work ahead of us.   Keep loving your PapaTui, and keep sending me your amazing feedback — we listen and will always deliver.   dj 🫱🏾‍🫲🏼 #papatui  #acne  @businessoffashion.bof 🥂"
therock,390497976,17/03/2026,Post,149746,1984,"Meet me in the lobby this Thursday… 3/19   … if you know, you know   ~ F   🛡️🗿🛡️"
therock,390497976,14/03/2026,Post,1503888,9251,"I want to hate this so bad and punch @kevinhart4real right in his little Keebler elf face, but dammit my jaws hurt from belly laughing at his commentary 😂😂👏🏾👏🏾  btw, we have less than 3 minutes between takes, so that’s why I use a shovel size spoon to devour my food 🪏 Can a working man just eat in peace? Paybacks a bitch, Kev 😉  #onset #jumanji #hawaii"
therock,390497976,13/03/2026,Post,37047,1232,"Two years ago we launched @papatui_ at @target with one goal: give guys better products that actually work.  Now we’re taking on the #1 skincare concern for men ~ acne.   I’m pumped to introduce PAPATUI Acne Fighting Care, built with powerful ingredients and designed specifically for guys.   Great results are on the way, and thanks for making PAPATUI #1 in Men’s Face Care."
therock,390497976,10/03/2026,Post,172598,3191,"When the briefcase arrives in Hawaii, you know some cool s#%t is about to go down 😎  Excited to finally share our @PapaTui_ acne line, which we’ve been formulating for over a year.   We heard from men of all ages, and acne is our #1 skin concern.   Three fantastic products:  🧴Acne-Fighting Cleanser  ⚫️ Pimple Patch 💦Acne-Fighting Body Spray  We only get one skin ~ thanks for letting @PapaTui_ help you take care of it.   Excited for you get results, lemme me know what you think 🫱🏾‍🫲🏼  Available exclusively at @target 🎯  #AcneCare #PapaTui #1MensCareLine"
therock,390497976,07/03/2026,Post,4067454,29738,"I love my son @kevinhart4real with all my heart ❤️ but when he gets whiny about his carseat, I just want to slap his stupid little lips clean off his annoying punchable face 👄 👋🏾 👦🏾 🤛🏾   #onset  #jumanji  #daddyissues #toomuchfun 😂"
therock,390497976,05/03/2026,Post,38144,516,"You asked, and @PapaTui_ is about to deliver 🫱🏾‍🫲🏼  You’ve voiced it to us loud and clear about the #1 skin concern men face.   As you see, our team has been working hard in the lab to formulate and build this new product line, just for you.   Dropping soon at @target 🎯  #PapaTui #ComingSoon  #1SkinConcernForMen"
therock,390497976,02/03/2026,Post,285167,4175,"Man I was emotional here, because my heart was full listening to everyone’s powerful speeches, then “My Way” was played as I walked on stage.   I was also deeply inspired, because I’m a proud, self respecting Black Samoan man who was surrounded by excellence on this night.   THANK YOU to the @AmericanBlackFilmFestival for this inspiring award, and more importantly, thank you for illuminating our cultures, artists and their beautiful souls.   When you come up like I did, it creates a fire in your spine, callouses on your hands and forces you to chase greatness and work to achieve excellence. To be that example for my kids and the the next generation who will stand on my/ OUR shoulders.   Work hard, take care of your family, protect your aura + energy, lift everyone up around you, run towards the things you LOVE, and a core motivating philosophy I keep very close…   just because something’s never been done before, doesn’t mean it can’t be done ~ it just means we haven’t figured out a way to do it.   Cheers to always finding a way.   🤎🥂  #AmericanBlackFilmFestival  #IconAward   “Endurance, commitment, the decision to keep showing up” ~ Queen Angela Basset"
therock,390497920,23/03/2026,Post,1188197,9576,The ocean chose her for a reason 🌊  Experience @Disney’s MOANA only in theaters JULY 10.  ~ 🪝
therock,390497920,09/12/2025,Post,252713,3915,"The most surreal and humbling day of my career.   My FIRST Golden Globe nomination! 🙏🏾🤎  THANK YOU @goldenglobes for this incredibly inspiring honor and acknowledgment of the story we told and souls we bared.   What a privilege to be included with such an insane cadre of artists whose extraordinary performances all have raised the standard.   Getting the opportunity to live in the skin of Mark Kerr was the most life changing and beautiful experience of my career - and my gratitude runs deep to Mark for trusting me with his story and ultimately, trusting me with his life.   Celebrating my brother and our fearlessly empathetic director, the brilliant and hungry Benny Safdie @bowedtie - and I count my lucky stars to have the greatest scene partner of all time, Emily Blunt, whose RAW, heart wrenching, and lived in performance as Dawn Staples, moves us all to aching tears.   Finally, I’m still in awe of the transformative, prosthetic make-up work of the great, Kazu Hiro @kazustudios and all of the Smashing Machine crew who truly became a family and left it all on the screen.   This experience was life changing and unlocking.   Thank you to ALL OF YOU for “ walking down this road with me” on this wild and unpredictable journey of life…   and art.   🤎🙏🏾"
therock,390497920,23/03/2026,Post,190166,1200,This means everything to us 🤎 🌊  Go behind-the-scenes of @Disney’s MOANA and experience the movie only in theaters JULY 10.   ~ 🪝
therock,390497920,23/03/2026,Post,1402892,5545,"The ocean is calling. Join Moana, Maui, Heihei, and Pua on an unforgettable adventure 🌊  Disney’s #Moana only in theaters July 10!  ~🪝"
