USUARIO,SEGUIDORES,FECHA_POST,LIKES,COMENTARIOS,VISTAS,DESCRIPCION,HASHTAGS
realshinfujiyama,2400000,31/08/2026 08:59:05,5239,179,60,"Comienza el día 13 del Reto La Mosquitia, hoy iniciaremos la construcción del kinder en Umru🙏🏼❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 20:06:56,2823,45,16,"Muchas gracias Carolina🥹❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:55:55,2789,76,31,"Bolivia dice presente con su donación 🥹❤️🇧🇴  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:47:51,35341,722,407,"Nos mandaron 1,000 dólares para comer rico en la inauguración junto a los niños de Umru🥹❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:41:43,1709,23,9,"Una madre guerrera ha hecho una donación 🥹❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:35:56,2132,31,12,"Restaurante Mama Rosa de Utila nos mandó una donación🥹❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:30:49,1511,19,14,"Guatemala dice presente de nuevo para los niños de La Mosquitia🥹❤️🇬🇹  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:27:50,3600,55,33,"Una donación desde Alemania🥹❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
realshinfujiyama,2400000,30/08/2026 19:18:42,6574,95,50,"Un misquito que se convirtió en ingeniero🙏🏼❤️  Si quieres ayudarnos a construir más escuelas en La Mosquitia, comenta: “UMRU” y te enviaré un mensaje con los pasos🙏🏼❤️",
