USUARIO,SEGUIDORES,FECHA,TIPO,LIKES,COMMS,DESCRIPCION,SENTIMIENTO,HASHTAGS
aleborjas91,0,31/01/2025,Post,3309,103,"Enamórate de ti y de la vida , luego de quien tú quieras !! ❤️🖤  #amorproprio #sanandoelalma",Positivo,"amorproprio,sanandoelalma"
aleborjas91,0,12/09/2022,Post,7057,115,A continuación palabras de  motivación : . . TRABAJEMOS CON PASIÓN por que así se disfruta mejor! 😌🙌🏻🫶🏻 @exahonduras 🎙🎚 . .  Que Dios te dé la fuerza que necesitas para llevar adelante todos tus proyectos con buen ánimo!! 🙏🏻  . . #goodvibes #peace #god #work  @sendyboutiquehn  @lovelystudiohn,Positivo,"goodvibes,peace,god,work"
