USUARIO,SEGUIDORES,CORAZONES_TOTALES,FECHA_POST,LIKES_VIDEO,VISTAS,DESCRIPCION,HASHTAGS
snoopdogg,29500000,182200000,01/09/2026 12:28:34,2371,18367,Good mornin 😁 🔥🫵🏿 @Gin & Juice ,
snoopdogg,29500000,182200000,27/08/2026 09:22:25,442149,2900698,I’m hiring an international ice-cream taster 😅🧊🔥🫵🏿❗️ $10K per month. U can apply from anywhere in the world. Applications open 👀  @trydeel ,
snoopdogg,29500000,182200000,13/08/2026 23:22:38,3421,130385,“Love Me For Me” @October London album out now yall !!! Go checcc that ,
snoopdogg,29500000,182200000,12/08/2026 13:21:54,176911,12972632,#SuperstarAmongFriends — Broadus Together! 🎤✨ Exclusive performances LIVE on TikTok on Aug. 15 at 8 PM PT. #TikTokLIVEPremiere ,"SuperstarAmongFriends,TikTokLIVEPremiere"
snoopdogg,29500000,182200000,10/08/2026 18:40:45,3211,72759,Tha prince @Kalvin Love headlined @Troubadour 🔥‼️💪🏿 ft. @Princessbroadus come follow tha journey ,
snoopdogg,29500000,182200000,01/09/2026 12:28:34,2473,19174,Good mornin 😁 🔥🫵🏿 @Gin & Juice ,
snoopdogg,29500000,182200000,27/08/2026 09:22:25,442208,2901160,I’m hiring an international ice-cream taster 😅🧊🔥🫵🏿❗️ $10K per month. U can apply from anywhere in the world. Applications open 👀  @trydeel ,
snoopdogg,29500000,182200000,13/08/2026 23:22:38,3421,130404,“Love Me For Me” @October London album out now yall !!! Go checcc that ,
